Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2017-08-05,Sat,17:00 ,Bohemians 1905,Karviná,2,1,Stadion Ďolíček,Petr Ardeleánu
2017-08-05,Sat,17:00 ,Fastav Zlín,Zbrojovka Brno,2,1,Stadion Letná,Martin Nenadál
2017-08-06,Sun,16:00 ,Jablonec,Viktoria Plzeň,0,1,Stadion Střelnice,Pavel Královec
2017-08-06,Sun,16:00 ,Vysočina Jihlava,Slovácko,0,0,Stadion v Jiráskově ulici,Emanuel Marek
2017-08-06,Sun,18:00 ,Baník Ostrava,Slavia Prague,0,0,Bazaly,Radek Příhoda
2017-08-07,Mon,17:00 ,Mladá Boleslav,Sparta Prague,0,1,Adidas Aréna,Jan Jilek
2017-08-11,Fri,18:00 ,Slavia Prague,Vysočina Jihlava,2,0,Sinobo Stadium,Martin Nenadál
2017-08-12,Sat,16:00 ,Zbrojovka Brno,Bohemians 1905,0,0,Městský fotbalový stadion Srbská,Karel Hrubes
2017-08-12,Sat,16:00 ,Viktoria Plzeň,Sigma Olomouc,1,0,Doosan Arena,Ondřej Pechanec
2017-08-12,Sat,16:00 ,Slovácko,Baník Ostrava,5,2,Městský fotbalový stadion Miroslava Vale...,Pavel Franek
2017-08-13,Sun,17:00 ,Dukla Prague,Fastav Zlín,1,0,Stadion Juliska,Ondřej Ginzel
2017-08-13,Sun,17:00 ,Karviná,Mladá Boleslav,1,1,Městský stadion,Pavel Královec
2017-08-13,Sun,18:00 ,Slovan Liberec,Sparta Prague,1,1,Stadion u Nisy,Miroslav Zelinka
2017-08-18,Fri,20:15 ,Sparta Prague,Slovácko,1,0,Generali Arena,Pavel Královec
2017-08-19,Sat,17:00 ,Fastav Zlín,Karviná,1,0,Stadion Letná,Emanuel Marek
2017-08-19,Sat,18:00 ,Bohemians 1905,Slavia Prague,0,0,Stadion Ďolíček,Zbyněk Proske
2017-08-19,Sat,20:00 ,Mladá Boleslav,Slovan Liberec,0,3,Adidas Aréna,Karel Hrubes
2017-08-20,Sun,17:00 ,Vysočina Jihlava,Viktoria Plzeň,1,2,Stadion v Jiráskově ulici,Paval Julínek
2017-08-20,Sun,17:00 ,Jablonec,Dukla Prague,2,2,Stadion Střelnice,Jiří Houdek
2017-08-20,Sun,17:00 ,Sigma Olomouc,Zbrojovka Brno,3,0,Andrův stadion,Jan Jilek
2017-08-25,Fri,18:00 ,Dukla Prague,Bohemians 1905,2,0,Stadion Juliska,Martin Nenadál
2017-08-26,Sat,16:00 ,Karviná,Slovan Liberec,0,1,Městský stadion,Zbyněk Proske
2017-08-26,Sat,17:00 ,Zbrojovka Brno,Sparta Prague,2,0,Městský fotbalový stadion Srbská,Radek Příhoda
2017-08-26,Sat,19:00 ,Slovácko,Sigma Olomouc,0,0,Městský fotbalový stadion Miroslava Vale...,Ondřej Ginzel
2017-08-27,Sun,16:00 ,Jablonec,Fastav Zlín,2,0,Stadion Střelnice,Ondřej Pechanec
2017-08-27,Sun,16:30 ,Slavia Prague,Mladá Boleslav,4,0,Sinobo Stadium,Pavel Franek
2017-08-27,Sun,17:00 ,Teplice,Vysočina Jihlava,3,1,Na Stínadlech,J. Machálek
2017-08-27,Sun,18:30 ,Viktoria Plzeň,Baník Ostrava,3,0,Doosan Arena,Karel Hrubes
2017-09-09,Sat,16:00 ,Slovan Liberec,Viktoria Plzeň,0,3,Stadion u Nisy,Emanuel Marek
2017-09-09,Sat,17:00 ,Bohemians 1905,Slovácko,1,0,Stadion Ďolíček,Milan Matejcek
2017-09-09,Sat,17:00 ,Baník Ostrava,Jablonec,2,2,Bazaly,Ondřej Berka
2017-09-09,Sat,18:00 ,Sigma Olomouc,Slavia Prague,1,1,Andrův stadion,Pavel Královec
2017-09-10,Sun,15:00 ,Mladá Boleslav,Zbrojovka Brno,3,0,Adidas Aréna,Petr Ardeleánu
2017-09-10,Sun,18:00 ,Sparta Prague,Karviná,2,0,Generali Arena,Martin Nenadál
2017-09-10,Sun,18:00 ,Vysočina Jihlava,Dukla Prague,3,2,Stadion v Jiráskově ulici,Zbyněk Proske
2017-09-15,Fri,18:00 ,Dukla Prague,Baník Ostrava,2,0,Stadion Juliska,Pavel Franek
2017-09-16,Sat,17:00 ,Karviná,Sigma Olomouc,3,5,Městský stadion,Radek Příhoda
2017-09-16,Sat,17:00 ,Zbrojovka Brno,Slovan Liberec,1,2,Městský fotbalový stadion Srbská,Pavel Královec
2017-09-16,Sat,19:00 ,Slovácko,Mladá Boleslav,0,1,Městský fotbalový stadion Miroslava Vale...,Ondřej Berka
2017-09-17,Sun,15:00 ,Jablonec,Vysočina Jihlava,5,0,Stadion Střelnice,Milan Matejcek
2017-09-17,Sun,18:00 ,Slavia Prague,Sparta Prague,2,0,Sinobo Stadium,Jan Jilek
2017-09-18,Mon,18:00 ,Viktoria Plzeň,Fastav Zlín,2,1,Doosan Arena,Martin Nenadál
2017-09-23,Sat,17:00 ,Bohemians 1905,Jablonec,0,1,Stadion Ďolíček,Emanuel Marek
2017-09-23,Sat,17:00 ,Sigma Olomouc,Dukla Prague,3,0,Andrův stadion,Ondřej Berka
2017-09-23,Sat,17:00 ,Fastav Zlín,Slavia Prague,1,1,Stadion Letná,Pavel Královec
2017-09-23,Sat,18:00 ,Mladá Boleslav,Viktoria Plzeň,0,2,Adidas Aréna,Pavel Franek
2017-09-24,Sun,17:00 ,Karviná,Zbrojovka Brno,2,1,Městský stadion,Ondřej Pechanec
2017-09-24,Sun,17:00 ,Vysočina Jihlava,Baník Ostrava,2,1,Stadion v Jiráskově ulici,Miroslav Zelinka
2017-09-25,Mon,19:00 ,Slovan Liberec,Slovácko,1,1,Stadion u Nisy,Radek Příhoda
2017-09-30,Sat,17:00 ,Slovácko,Karviná,0,0,Městský fotbalový stadion Miroslava Vale...,Ondřej Lerch
2017-09-30,Sat,20:00 ,Dukla Prague,Sparta Prague,0,0,Stadion Juliska,Karel Hrubes
2017-10-01,Sun,15:00 ,Viktoria Plzeň,Bohemians 1905,2,1,Doosan Arena,Ondřej Berka
2017-10-01,Sun,17:00 ,Jablonec,Mladá Boleslav,3,1,Stadion Střelnice,Miroslav Zelinka
2017-10-01,Sun,17:00 ,Baník Ostrava,Fastav Zlín,2,2,Bazaly,Emanuel Marek
2017-10-01,Sun,17:00 ,Vysočina Jihlava,Sigma Olomouc,0,1,Stadion v Jiráskově ulici,Petr Ardeleánu
2017-10-01,Sun,18:00 ,Slavia Prague,Zbrojovka Brno,2,0,Sinobo Stadium,Martin Nenadál
2017-10-13,Fri,20:15 ,Bohemians 1905,Baník Ostrava,2,1,Stadion Ďolíček,Petr Ardeleánu
2017-10-14,Sat,17:00 ,Fastav Zlín,Vysočina Jihlava,2,1,Stadion Letná,Martin Nenadál
2017-10-14,Sat,17:00 ,Sigma Olomouc,Jablonec,0,0,Andrův stadion,Zbyněk Proske
2017-10-14,Sat,17:00 ,Slovan Liberec,Dukla Prague,3,0,Stadion u Nisy,Milan Matejcek
2017-10-14,Sat,17:00 ,Zbrojovka Brno,Slovácko,2,1,Městský fotbalový stadion Srbská,Karel Hrubes
2017-10-14,Sat,20:00 ,Karviná,Slavia Prague,0,2,Městský stadion,Miroslav Zelinka
2017-10-15,Sun,18:00 ,Sparta Prague,Viktoria Plzeň,0,1,Generali Arena,Radek Příhoda
2017-10-19,Thu,18:00 ,Dukla Prague,Slovácko,1,1,Stadion Juliska,Pavel Orel
2017-10-20,Fri,18:00 ,Vysočina Jihlava,Bohemians 1905,2,4,Stadion v Jiráskově ulici,Roman Hrubes
2017-10-20,Fri,20:15 ,Baník Ostrava,Sigma Olomouc,1,1,Bazaly,Miroslav Zelinka
2017-10-21,Sat,18:15 ,Jablonec,Sparta Prague,0,3,Stadion Střelnice,Petr Ardeleánu
2017-10-22,Sun,17:00 ,Viktoria Plzeň,Zbrojovka Brno,3,0,Doosan Arena,Ondřej Ginzel
2017-10-22,Sun,18:00 ,Fastav Zlín,Mladá Boleslav,1,5,Stadion Letná,Paval Julínek
2017-10-22,Sun,18:00 ,Slavia Prague,Slovan Liberec,1,2,Sinobo Stadium,Ondřej Pechanec
2017-10-27,Fri,20:15 ,Karviná,Viktoria Plzeň,1,3,Městský stadion,Zbyněk Proske
2017-10-28,Sat,17:00 ,Slovan Liberec,Jablonec,4,1,Stadion u Nisy,Karel Hrubes
2017-10-28,Sat,17:00 ,Zbrojovka Brno,Dukla Prague,0,0,Městský fotbalový stadion Srbská,Petr Ardeleánu
2017-10-28,Sat,17:00 ,Bohemians 1905,Fastav Zlín,1,1,Stadion Ďolíček,Miroslav Zelinka
2017-10-29,Sun,15:00 ,Mladá Boleslav,Vysočina Jihlava,2,1,Adidas Aréna,Ondřej Lerch
2017-10-29,Sun,15:45 ,Slovácko,Slavia Prague,0,3,Městský fotbalový stadion Miroslava Vale...,Paval Julínek
2017-10-29,Sun,18:00 ,Sparta Prague,Baník Ostrava,3,2,Generali Arena,Pavel Královec
2017-11-04,Sat,15:00 ,Baník Ostrava,Mladá Boleslav,0,1,Bazaly,Ondřej Berka
